iter	RMSE
0	0.3728934103
1	0.3408165353
2	0.3104330654
3	0.2835794802
4	0.2628157334
5	0.2439260459
6	0.226638262
7	0.2121622773
8	0.1992522804
9	0.1892711745
10	0.1799644575
11	0.1714386388
12	0.1649698646
13	0.1584360528
14	0.1530655137
15	0.1486737917
16	0.144518534
17	0.1403185284
18	0.1369748405
19	0.1327241722
20	0.12975075
21	0.1273107401
22	0.1251459909
23	0.1230912244
24	0.1212129131
25	0.1193626448
26	0.1174477959
27	0.1160622586
28	0.1143635578
29	0.1129649932
30	0.1117007615
31	0.1108116846
32	0.1095010165
33	0.1084555648
34	0.1077910618
35	0.1069848413
36	0.1060154152
37	0.1047694025
38	0.1036944844
39	0.1028480031
40	0.102110118
41	0.1013487011
42	0.1006796742
43	0.09992996252
44	0.09943014406
45	0.09850523455
46	0.09748773903
47	0.09711256315
48	0.09639310602
49	0.09584950929
50	0.09528426117
51	0.09468448727
52	0.09418368769
53	0.09372026419
54	0.09297748965
55	0.09227051289
56	0.09197551736
57	0.09130852991
58	0.09090070588
59	0.09062826526
60	0.08984978401
61	0.08945822839
62	0.0887786337
63	0.08833958261
64	0.08761640485
65	0.08711152508
66	0.08625195095
67	0.08563388757
68	0.08515837829
69	0.0845188087
70	0.08390634268
71	0.08352180737
72	0.08290354371
73	0.08209877442
74	0.08137025828
75	0.08079153452
76	0.08013051334
77	0.07953116418
78	0.07917125282
79	0.0787631731
80	0.07834882906
81	0.0777661815
82	0.07731301639
83	0.07664393948
84	0.0762873448
85	0.07557495309
86	0.07508782168
87	0.07483227937
88	0.07439899361
89	0.07392883613
90	0.07355635561
91	0.07313119858
92	0.07289391116
93	0.07246323278
94	0.07206843163
95	0.07162971728
96	0.07114513233
97	0.07080524836
98	0.07044911694
99	0.07015484287
100	0.069586943
101	0.06909318231
102	0.06888311451
103	0.0684219222
104	0.06797586927
105	0.06764218021
106	0.06722351379
107	0.06683056842
108	0.06641818973
109	0.06600497149
110	0.06558611421
111	0.0651290002
112	0.0647969756
113	0.06445688028
114	0.06405601084
115	0.06363273091
116	0.06322032039
117	0.06291783916
118	0.06258642586
119	0.06204343415
120	0.06175967389
121	0.06138296077
122	0.06108226512
123	0.06054747791
124	0.06015096699
125	0.05982112658
126	0.05962263347
127	0.05914477532
128	0.05886717861
129	0.05845700424
130	0.05801095228
131	0.05776044674
132	0.05768699578
133	0.05740677558
134	0.05732042265
135	0.05704437761
136	0.05680746717
137	0.0564948
138	0.05632758591
139	0.05602868596
140	0.05569695325
141	0.05540347288
142	0.05515379152
143	0.05487155233
144	0.05447099068
145	0.0541582922
146	0.054089606
147	0.05364322218
148	0.05331520217
149	0.05307851541
150	0.05281367285
151	0.05256103505
152	0.05234024372
153	0.05211975153
154	0.0518774661
155	0.05167758062
156	0.05140686852
157	0.05106738588
158	0.05091278066
159	0.0506962735
160	0.05053748288
161	0.05029005794
162	0.05010446456
163	0.0499825697
164	0.0497728168
165	0.04954171248
166	0.04934198057
167	0.0490551257
168	0.04884299025
169	0.04855793414
170	0.04836371024
171	0.04819134368
172	0.04793855689
173	0.04776637677
174	0.04753053815
175	0.04720485649
176	0.04701666063
177	0.04693267704
178	0.0466806904
179	0.04656435119
180	0.04641909692
181	0.04626384466
182	0.04607124019
183	0.04581040797
184	0.04565700585
185	0.04549249619
186	0.04532463065
187	0.04524695949
188	0.04501341348
189	0.0448431938
190	0.04460697111
191	0.04445175952
192	0.04426401284
193	0.04403938813
194	0.0437812664
195	0.0436073439
196	0.04339718748
197	0.04324554886
198	0.0430468832
199	0.04278466222
200	0.04268776056
201	0.0423866506
202	0.0423180139
203	0.04215031201
204	0.04202155644
205	0.0418243024
206	0.04179154503
207	0.04153574263
208	0.04136593727
209	0.04112942933
210	0.04086251234
211	0.04069745249
212	0.04055597825
213	0.04039003126
214	0.04018606523
215	0.04013350994
216	0.04005008653
217	0.03983200923
218	0.039611803
219	0.0393055413
220	0.03893945785
221	0.03883883295
222	0.03852874293
223	0.03836799557
224	0.03815369398
225	0.03794901977
226	0.03775775232
227	0.03751739495
228	0.03738610623
229	0.03727972605
230	0.03708631384
231	0.03695915812
232	0.03689082888
233	0.0366596813
234	0.0365274226
235	0.03643070597
236	0.03627280982
237	0.03612926301
238	0.03600755965
239	0.03585701452
240	0.0357413609
241	0.0356183508
242	0.03551512544
243	0.03538579012
244	0.035300606
245	0.03518134261
246	0.0350413807
247	0.03490446871
248	0.03473017535
249	0.03457571957
250	0.03438266748
251	0.0342310105
252	0.0340853316
253	0.03406478455
254	0.03394083337
255	0.03384515591
256	0.03369807517
257	0.03358252164
258	0.03343718123
259	0.0333318628
260	0.03318614687
261	0.0331000281
262	0.03299782248
263	0.03280714889
264	0.03267121076
265	0.03254450305
266	0.03240079052
267	0.03225678101
268	0.03215825853
269	0.03205805258
270	0.03197587784
271	0.0318556782
272	0.03179347933
273	0.03166487264
274	0.03153296433
275	0.03139335712
276	0.03129164141
277	0.0311460111
278	0.0310541984
279	0.0310406966
280	0.03080636143
281	0.03069582415
282	0.03055132029
283	0.03047894551
284	0.03037481547
285	0.03028883413
286	0.03013882617
287	0.03000707661
288	0.02987637014
